"","load","honeycomb_mode","ipa_bound","bound","ipa_consistency","lease","condition","purchase_lat_mean","purchase_lat_median","purchase_lat_p99","view_lat_mean","view_lat_median","view_lat_p99","overall_lat_mean","overall_rate"
"58",512,"slowpoke_flat","tolerance:0.1","error: 10%","weak","0ms","Slow replica",17.5272669103,11.394464,116.817684,17.944350804,11.052732,121.218801,18.1543194525272,4032.9001249687
"59",512,"google","tolerance:0.1","error: 10%","weak","0ms",NA,56.4732466057,2.498227,390.548095,55.927608453,2.170629,405.160505,48.4708297198236,4004.9492474184
"60",512,"amazon","tolerance:0.1","error: 10%","weak","0ms",NA,112.793063081,2.816591,1369.02396,92.7224354273,2.492589,647.502812,82.3429591200058,3512.5252462764
"61",512,"flat5","tolerance:0.1","error: 10%","weak","200ms",NA,6.21150029865,5.937449,7.031786,5.81506348934,5.45686,6.523918,6.07623561266634,4074.16284618
"62",512,"slowpoke_flat","tolerance:0.1","error: 10%","weak","200ms","Slow replica",130.001039151,11.415878,4655.81514,48.5184777178,11.059533,101.909379,51.1021328870528,4030.3500743767
"63",512,"google","tolerance:0.1","error: 10%","weak","200ms",NA,57.1948663746,2.353831,346.116138,56.6424584964,1.987059,393.630822,50.2271800740549,3986.1722919909
"64",512,"amazon","tolerance:0.1","error: 10%","weak","200ms",NA,49.6916181195,2.322419,340.984988,53.8162178508,2.008497,524.981501,48.2191698731482,3887.7387617172
"65",512,"flat5","tolerance:0.05","error: 5%","weak","0ms",NA,6.79462894031,6.472192,26.854501,6.37016117512,6.089243,16.342534,6.52287634133338,4068.1564370635
"66",512,"slowpoke_flat","tolerance:0.05","error: 5%","weak","0ms","Slow replica",26.1120997908,11.384397,211.915951,24.2249538295,11.031891,204.382428,23.505499844352,4152.2858519004
"67",512,"google","tolerance:0.05","error: 5%","weak","0ms",NA,59.0582982224,2.504791,385.517152,57.293881259,2.142844,422.931781,50.1306876002346,3911.7445926327
"68",512,"amazon","tolerance:0.05","error: 5%","weak","0ms",NA,54.6155368427,2.506991,415.861196,66.9710465446,2.247623,543.980624,58.3127889543569,3925.4251483522
"69",512,"flat5","tolerance:0.05","error: 5%","weak","200ms",NA,6.24088446212,5.984433,7.165001,5.82954471161,5.467909,6.598956,6.08299945874103,3998.8822054125
"70",512,"slowpoke_flat","tolerance:0.05","error: 5%","weak","200ms","Slow replica",17.8525484832,10.891839,121.656163,16.5628519779,10.957643,101.813473,17.3253445457471,3965.3997550636
