"","load","honeycomb_mode","ipa_bound","bound","ipa_consistency","lease","condition","mix","read_lat_mean","read_lat_median","read_lat_p95","read_lat_p99","read_rate","incr_lat_mean","incr_lat_median","incr_rate","overall_latency_mean","read_strong_fraction"
"156",4096,"flat5","consistency:strong","strong","strong","0ms","High load","default",22.5416985229,20.03556,36.103582,38.939435,5617.55955324,19.2361972592,19.059838,1392.95686438,21.88059827016,1
"157",4096,"flat5","consistency:weakwrite","weak","strong","0ms","High load","default",5.5683230862,5.327731,5.96827,9.573993,6427.50807078,5.46446831756,5.358501,1606.21521202,5.547552132472,0
"158",4096,"flat5","latency:50ms","latency: 50ms","strong","0ms","High load","default",23.9438038725,22.088655,38.722537,44.577051,3205.77334848,20.9726577,20.618039,801.786073134,23.349574638,0.995724545067251
"159",4096,"flat5","latency:20ms","latency: 20ms","strong","0ms","High load","default",19.2078996596,19.421454,19.553405,19.703218,3166.97699316,20.8953527355,20.619178,792.773860603,19.54539027478,0.215909266180984
"160",4096,"flat5","latency:10ms","latency: 10ms","strong","0ms","High load","default",5.47414985439,5.387872,5.533725,5.886541,3234.70107988,23.7954057192,23.764854,812.62462372,9.138401027352,0
"161",4096,"fast","tolerance:0.1","error: 10%","strong","0ms","Local","default",0.995122227589,0.576488,1.015226,2.558171,4991.88573923,0.889545858214,0.393939,1246.33282904,0.974006953714,0
"162",128,"flat5","tolerance:0.1","error: 10%","strong","0ms","Uniform
(5ms)","default",6.07151828378,5.87592,6.562931,9.243228,5415.90504745,6.5332289772,5.684133,1350.56899709,6.163860422464,0
"163",512,"slowpoke_flat","tolerance:0.1","error: 10%","strong","0ms","Slow replica","default",17.146911517,11.626663,17.156727,146.58852,5371.75638776,22.683313012,11.507327,1337.45461924,18.254191816,0
"164",2048,"amazon","tolerance:0.1","error: 10%","strong","0ms","Geo-
distributed","default",22.4047706078,1.8851,159.526101,406.469724,5106.13761355,44.3292894947,1.734016,1261.07964549,26.78967438518,0
"165",4096,"fast","tolerance:0.05","error: 5%","strong","0ms","Local","default",0.95795091884,0.47935,1.307324,8.337779,4921.03836427,0.719137081257,0.385547,1233.10047181,0.9101881513234,0
"166",128,"flat5","tolerance:0.05","error: 5%","strong","0ms","Uniform
(5ms)","default",7.27181375199,6.880469,9.358761,13.838146,5475.37727622,7.61142762065,6.888256,1363.90485649,7.339736525722,0
"167",512,"slowpoke_flat","tolerance:0.05","error: 5%","strong","0ms","Slow replica","default",17.6401175769,11.533653,16.379139,196.400194,5385.62402525,24.4143626513,11.696774,1340.61588885,18.99496659178,0
"168",2048,"amazon","tolerance:0.05","error: 5%","strong","0ms","Geo-
distributed","default",34.014111574,1.781877,254.312946,762.711709,5190.92688443,34.1510078113,1.716547,1276.1550345,34.04149082146,0
"169",4096,"fast","tolerance:0.01","error: 1%","strong","0ms","Local","default",0.721683419182,0.563588,1.279685,1.960154,4896.77319445,0.729542337838,0.419209,1216.28292723,0.7232552029132,0
"170",128,"flat5","tolerance:0.01","error: 1%","strong","0ms","Uniform
(5ms)","default",7.53350110207,6.714209,9.575133,27.364765,5439.68874645,11.8013811172,7.141454,1358.44433801,8.387077105096,0
"171",512,"slowpoke_flat","tolerance:0.01","error: 1%","strong","0ms","Slow replica","default",46.894493886,11.414102,240.0222,560.445403,4983.13674951,72.076636515,11.723599,1233.94877612,51.9309224118,0
"172",2048,"amazon","tolerance:0.01","error: 1%","strong","0ms","Geo-
distributed","default",231.98068268,2.158695,1010.732418,3097.133962,4565.2194809,273.8112662,2.062956,1121.73594342,240.346799384,0
"173",4096,"fast","consistency:strong","strong","strong","0ms","Local","default",0.714794454268,0.606461,1.077902,1.237075,5781.03786894,0.658652035614,0.637602,1447.56277479,0.7035659705372,1
"174",128,"flat5","consistency:strong","strong","strong","0ms","Uniform
(5ms)","default",23.0591854309,21.35745,37.701802,43.795529,3646.14044671,20.7462395115,20.429667,908.627643424,22.59659624702,1
