"","load","honeycomb_mode","ipa_bound","bound","ipa_consistency","lease","condition","retweet_lat_mean","retweet_lat_median","retweet_lat_p99","tweet_load_lat_mean","tweet_load_lat_median","tweet_load_lat_p99","timeline_lat_mean","timeline_lat_median","timeline_lat_p99","overall_lat_mean","overall_rate","containers"
"73",2048,"fast","consistency:strong","strong","strong","0ms",NA,197.885748488,168.279233,706.179823,85.5149253711,90.689221,120.775743,316.529217006,290.790045,906.678997,297.228707592668,1454.4072458707,"{owl_cass_1: rhinoceros, owl_cass_2: platypus, owl_cass_3: sloth, owl_owl_1: ibex}"
"74",2048,"flat5","consistency:strong","strong","strong","0ms",NA,883.112956483,686.150659,2749.684446,263.901441092,277.799021,359.286159,1365.24670946,1526.400995,3149.089989,1232.63869962794,489.31274102605,"{owl_cass_1: rhinoceros, owl_cass_2: platypus, owl_cass_3: sloth, owl_owl_1: ibex}"
"75",2048,"slowpoke_flat","consistency:strong","strong","strong","0ms",NA,1653.97241107,1469.96628,4656.560549,433.05337445,444.237898,736.74953,2315.82091353,2519.872809,5189.430903,2124.74930438139,296.79943787779,"{owl_cass_1: rhinoceros, owl_cass_2: platypus, owl_cass_3: sloth, owl_owl_1: ibex}"
"76",4096,"fast","consistency:strong","strong","strong","0ms","Local",425.541419273,358.893816,1351.170453,177.757192661,181.895725,248.527778,905.948831931,964.331754,2466.119953,801.022749468323,1367.9148349637,"{owl_cass_1: rhinoceros, owl_cass_2: platypus, owl_cass_3: sloth, owl_owl_1: ibex}"
"77",4096,"flat5","consistency:strong","strong","strong","0ms","High load",1897.92741054,1593.099686,6399.763777,564.573975822,563.749963,708.708212,2912.31038073,3342.510351,6393.062054,2655.1719140467,453.05917065152,"{owl_cass_1: rhinoceros, owl_cass_2: platypus, owl_cass_3: sloth, owl_owl_1: ibex}"
"78",128,"fast","consistency:weakwrite","weak","weak","20ms",NA,12.319857784,9.006779,69.492167,3.52216430098,3.386476,6.123407,15.262974206,17.43932,35.701768,18.5884702476971,2127.0273882499,"{owl_cass_1: rhinoceros, owl_cass_2: platypus, owl_cass_3: sloth, owl_owl_1: ibex}"
"79",128,"flat5","consistency:weakwrite","weak","weak","20ms","Uniform
(5ms)",43.9592659401,35.349327,137.061467,7.56926979673,6.886264,23.266243,34.0517358797,37.00172,96.967625,40.5594943159042,977.0398273351,"{owl_cass_1: rhinoceros, owl_cass_2: platypus, owl_cass_3: sloth, owl_owl_1: ibex}"
"80",128,"slowpoke_flat","consistency:weakwrite","weak","weak","20ms",NA,75.2094168325,63.645153,243.210556,11.992947628,11.616962,16.299604,51.0690921126,58.326223,113.393645,63.1155628982192,633.53128607394,"{owl_cass_1: rhinoceros, owl_cass_2: platypus, owl_cass_3: sloth, owl_owl_1: ibex}"
"81",128,"google","consistency:weakwrite","weak","weak","20ms",NA,134.027681056,130.59082,186.042494,2.69294248589,2.583327,4.342326,15.8620814506,18.021679,36.113943,58.2337969213525,1464.1199508335,"{owl_cass_1: rhinoceros, owl_cass_2: platypus, owl_cass_3: sloth, owl_owl_1: ibex}"
"82",128,"amazon","consistency:weakwrite","weak","weak","20ms",NA,105.164217378,103.418842,151.918843,2.89573920486,2.755481,4.76753,16.1063373576,18.042575,37.607305,49.354539326096,1554.2639865736,"{owl_cass_1: rhinoceros, owl_cass_2: platypus, owl_cass_3: sloth, owl_owl_1: ibex}"
"83",512,"fast","consistency:weakwrite","weak","weak","20ms",NA,45.5770003097,41.214289,126.02832,15.6013808414,15.975491,23.442158,49.619295107,54.485673,114.452269,53.3935235564391,1846.0898906201,"{owl_cass_1: rhinoceros, owl_cass_2: platypus, owl_cass_3: sloth, owl_owl_1: ibex}"
"84",512,"flat5","consistency:weakwrite","weak","weak","20ms",NA,68.6695886464,61.931702,195.544117,20.4116384381,22.061344,35.111521,66.0928503253,71.867346,162.860999,72.5728032269095,1459.5602736963,"{owl_cass_1: rhinoceros, owl_cass_2: platypus, owl_cass_3: sloth, owl_owl_1: ibex}"
"85",512,"slowpoke_flat","consistency:weakwrite","weak","weak","20ms","Slow replica",100.646113635,88.761509,247.082581,24.6318709774,25.802342,38.140082,86.0871099619,88.155107,260.47557,95.5170275209452,1219.5544674344,"{owl_cass_1: rhinoceros, owl_cass_2: platypus, owl_cass_3: sloth, owl_owl_1: ibex}"
