"","load","honeycomb_mode","ipa_bound","bound","mix","mix_incr","mix_read","ipa_consistency","lease","condition","read_lat_mean","read_lat_median","read_lat_p95","read_lat_p99","read_rate","incr_lat_mean","incr_lat_median","incr_rate","overall_latency_mean","read_strong_fraction","interval_mean","interval_percent_mean","interval_percent_p99","interval_percent_max"
"328",2048,"google","tolerance:0.1","error: 10%","custom","1.0","0.0","strong","0ms",NA,7.1243731458,2.419972,12.418204,163.714122,8.93696477942,55.4608489172,26.463201,3461.77561665,55.4608489172,NA,151.582994963,9.7754016731,10,10
"329",2048,"amazon","tolerance:0.1","error: 10%","custom","1.0","0.0","strong","0ms","Geo-
distributed",8.2523815227,2.408217,28.969514,163.825252,7.97044885656,61.8488304798,24.682599,3045.30062794,61.8488304798,NA,149.636191447,9.7704606901,10,10
"330",2048,"fast","tolerance:0.01","error: 1%","custom","1.0","0.0","strong","0ms",NA,8.21370163339,6.098912,23.206159,33.113849,89.2712515307,13.4589820753,10.750573,33819.6762048,13.4589820753,NA,11.870317035,0.76293113615,0.995,1
"331",2048,"flat5","tolerance:0.01","error: 1%","custom","1.0","0.0","strong","0ms",NA,11.1440801921,8.831749,27.42619,40.498104,75.4451282375,23.270236238,15.465515,28440.6441557,23.270236238,NA,11.9743165171,0.758767251575,0.995,1
"332",2048,"slowpoke_flat","tolerance:0.01","error: 1%","custom","1.0","0.0","strong","0ms",NA,15.3613902189,11.269344,31.783975,101.464001,11.8852423431,111.692119589,36.018998,4572.46874972,111.692119589,NA,12.3382658378,0.767990841895,0.995,1
"333",2048,"google","tolerance:0.01","error: 1%","custom","1.0","0.0","strong","0ms",NA,7.70301011227,2.510887,19.255759,164.635386,5.96074574494,175.864141192,24.693939,2322.5660604,175.864141192,NA,12.4826569831,0.77106031048,0.995,1
"334",2048,"amazon","tolerance:0.01","error: 1%","custom","1.0","0.0","strong","0ms","Geo-
distributed",10.9202654683,2.501569,76.095532,220.807427,5.40254273902,205.346687374,19.022853,2052.24650713,205.346687374,NA,12.0572687814,0.7602327353,0.995,1
"335",2048,"fast","consistency:strong","strong","custom","1.0","0.0","strong","0ms",NA,2.90758659826,2.251401,7.071072,14.313487,178.833321982,3.57541548547,2.610027,67255.3415604,3.57541548547,NA,0,0,0,0
"336",2048,"flat5","consistency:strong","strong","custom","1.0","0.0","strong","0ms",NA,39.1042622928,31.352472,76.526729,89.379484,58.8185918289,53.462527244,53.913342,22068.705055,53.462527244,NA,0,0,0,0
"337",2048,"slowpoke_flat","consistency:strong","strong","custom","1.0","0.0","strong","0ms",NA,149.408284236,126.106372,299.470611,515.556529,13.1985100103,189.919734458,178.022622,5143.02414804,189.919734458,NA,0,0,0,0
"338",2048,"google","consistency:strong","strong","custom","1.0","0.0","strong","0ms",NA,552.860756957,419.585871,1199.412631,1605.147339,3.99486870622,698.12155256,667.603895,1492.35461192,698.12155256,NA,0,0,0,0
"339",2048,"amazon","consistency:strong","strong","custom","1.0","0.0","strong","0ms","Geo-
distributed",437.675354721,393.71243,925.367349,1076.646405,4.46616739414,582.509788936,572.645351,1715.25700546,582.509788936,NA,0,0,0,0
"340",2048,"fast","consistency:weakwrite","weak","custom","0.5","0.5","strong","0ms",NA,7.14560963887,5.753381,17.950566,23.061149,57736.5656787,7.1255716016,5.566447,42818.3479684,7.135590620235,NA,0,0.00369931328427,0.15,0.91
"341",2048,"flat5","consistency:weakwrite","weak","custom","0.5","0.5","strong","0ms",NA,12.3940945704,12.311988,18.853585,26.910056,55299.592686,12.7854423515,12.910411,28380.4937386,12.58976846095,NA,0,0.0366900850895,1.16,6.01
"342",2048,"slowpoke_flat","consistency:weakwrite","weak","custom","0.5","0.5","strong","0ms",NA,18.5147369453,17.105612,23.111256,65.924302,37229.908482,18.8937744218,17.70491,19319.2196695,18.70425568355,NA,0,0.0378645739892,1.33,3.63
"343",2048,"google","consistency:weakwrite","weak","custom","0.5","0.5","strong","0ms",NA,11.5850232706,10.682949,14.629088,21.323648,54566.8892358,13.0435283279,11.278373,24815.0121999,12.31427579925,NA,0,0.0111260724993,0.16,2.49
"344",2048,"amazon","consistency:weakwrite","weak","custom","0.5","0.5","strong","0ms","Geo-
distributed",12.6923760913,10.532707,14.975705,21.8726,52626.2263568,14.3677271382,11.085129,26055.4904651,13.53005161475,NA,0,0.0826971394514,0,100
"345",2048,"fast","tolerance:0.1","error: 10%","custom","0.5","0.5","strong","0ms",NA,59.1250591477,44.322209,183.232776,300.9171,22599.8647374,22.110675818,21.570473,12207.5536572,40.61786748285,NA,144.386588578,9.43533453255,10,10
"346",2048,"flat5","tolerance:0.1","error: 10%","custom","0.5","0.5","strong","0ms",NA,36.4082749935,35.016108,64.474838,98.200369,30054.0827042,26.149202899,24.569138,15014.2992194,31.27873894625,NA,143.410955688,9.5158394202,10,10
"347",2048,"slowpoke_flat","tolerance:0.1","error: 10%","custom","0.5","0.5","strong","0ms",NA,51.6368201171,33.446074,100.88998,691.00892,33279.5314322,48.9649822202,17.49664,3527.78869713,50.30090116865,NA,148.544298176,9.5016925524,10,10
"348",2048,"google","tolerance:0.1","error: 10%","custom","0.5","0.5","strong","0ms",NA,50.4276784785,22.344384,151.688845,1003.146117,32734.4206468,51.4502207192,2.965863,1722.9546808,50.93894959885,NA,139.889443017,9.44110120915,10,10
"349",2048,"amazon","tolerance:0.1","error: 10%","custom","0.5","0.5","strong","0ms","Geo-
distributed",49.8270015737,20.557347,87.07831,923.045587,29971.8298207,58.2123079989,2.736209,1660.34665911,54.0196547863,NA,143.264723736,9.55117874075,10,10
"350",2048,"fast","tolerance:0.01","error: 1%","custom","0.5","0.5","strong","0ms",NA,58.2678076367,48.158222,157.956884,230.06512,21305.6265877,22.9667624338,21.690219,11857.7417776,40.61728503525,NA,12.1428425566,0.760674986685,0.995,1
"351",2048,"flat5","tolerance:0.01","error: 1%","custom","0.5","0.5","strong","0ms",NA,48.6550171194,37.938841,106.031383,124.203651,26606.9069527,32.6976506848,22.847282,13385.2569021,40.6763339021,NA,12.2224631351,0.75875014942,0.995,1
"352",2048,"slowpoke_flat","tolerance:0.01","error: 1%","custom","0.5","0.5","strong","0ms",NA,83.1197122551,21.700928,321.920545,642.327209,22007.8796146,89.2942770139,12.408284,3186.30827686,86.2069946345,NA,12.1282806254,0.752993590555,0.995,0.995
"353",2048,"google","tolerance:0.01","error: 1%","custom","0.5","0.5","strong","0ms",NA,250.634463744,178.85904,797.048324,1077.833507,5124.10682026,333.782934389,178.489377,1679.57718905,292.2086990665,NA,11.9073698644,0.753626051455,0.99,0.995
"354",2048,"amazon","tolerance:0.01","error: 1%","custom","0.5","0.5","strong","0ms","Geo-
distributed",77.4992973334,6.66673,457.388147,927.516197,17366.8193742,193.985090188,2.278196,1461.12159299,135.7421937607,NA,12.1385837078,0.76793779697,0.99,0.995
"355",2048,"fast","consistency:strong","strong","custom","0.5","0.5","strong","0ms",NA,11.7887906512,10.132596,27.374562,33.906153,47096.8965879,10.7644558681,8.599982,29312.3957493,11.27662325965,NA,0,0,0,0
"356",2048,"flat5","consistency:strong","strong","custom","0.5","0.5","strong","0ms",NA,119.317711868,114.405866,185.311588,239.865832,10451.3231018,110.840755768,106.762444,5155.19268102,115.079233818,NA,0,0,0,0
"357",2048,"slowpoke_flat","consistency:strong","strong","custom","0.5","0.5","strong","0ms",NA,289.756030493,276.145756,571.603026,1219.83328,2567.72735585,296.439504477,281.809717,1543.26615314,293.097767485,NA,0,0,0,0
"358",2048,"google","consistency:strong","strong","custom","0.5","0.5","strong","0ms",NA,1160.32929142,1142.382124,1968.231979,2367.434792,786.513696877,1097.39742321,1129.238084,455.755090961,1128.863357315,NA,0,0,0,0
"359",2048,"amazon","consistency:strong","strong","custom","0.5","0.5","strong","0ms","Geo-
distributed",956.417229756,845.362825,2299.711096,2729.040256,893.90465845,902.304282067,845.742844,507.255478136,929.3607559115,NA,0,0,0,0
"360",2048,"fast","consistency:weakwrite","weak","custom","0.1","0.9","strong","0ms",NA,11.7498858469,11.992145,23.176998,31.09034,66942.6835416,11.9604474232,12.036228,6764.69258232,11.77094200453,NA,0,0,0,0
"361",2048,"flat5","consistency:weakwrite","weak","custom","0.1","0.9","strong","0ms",NA,15.5742980684,14.744502,26.011981,30.260082,96201.0575259,16.7412837444,16.133013,9297.22214537,15.690996636,NA,0,0.0021166511384,0,0.35
"362",2048,"slowpoke_flat","consistency:weakwrite","weak","custom","0.1","0.9","strong","0ms",NA,16.2016280673,16.315293,21.864573,27.667261,71118.5448189,17.0368331443,16.729783,7000.35277936,16.285148575,NA,0,0.0382545976555,0.68,2.13
"363",2048,"google","consistency:weakwrite","weak","custom","0.1","0.9","strong","0ms",NA,10.773855092,9.623601,13.317272,20.359041,83001.2919951,10.7949187331,9.957474,8243.53738808,10.77596145611,NA,0,0.00626632768047,0.32,1.1
"364",2048,"fast","tolerance:0.1","error: 10%","custom","0.5","0.5","strong","0ms",NA,54.050804232,42.920388,151.057481,241.989013,22679.7025015,28.4056685797,32.622296,12108.216675,41.22823640585,NA,144.305765998,9.65731606175,10,10
"365",2048,"amazon","consistency:weakwrite","weak","custom","0.1","0.9","strong","0ms","Geo-
distributed",23.9398341958,9.914578,101.158377,202.845984,36107.9364025,23.2384202828,10.382894,3582.46632659,23.8696928045,NA,0,0.00341266698173,0,0.85
"366",2048,"fast","tolerance:0.1","error: 10%","custom","0.1","0.9","strong","0ms",NA,57.9810478846,47.274487,135.956163,288.93673,27050.9693775,7.75794970804,4.62779,2763.40775987,52.958738066944,NA,147.681353964,9.67909820775,10,10
"367",2048,"flat5","tolerance:0.1","error: 10%","custom","0.1","0.9","strong","0ms",NA,49.1626093006,43.714487,92.075629,134.321109,34795.4273318,20.0379975944,16.778565,3468.75172608,46.25014812998,NA,147.521763353,9.6867710817,10,10
"368",2048,"slowpoke_flat","tolerance:0.1","error: 10%","custom","0.1","0.9","strong","0ms",NA,54.1194033938,34.723043,103.396529,600.255896,31664.4934154,36.7296924029,15.47035,2224.43220526,52.38043229471,NA,144.827668584,9.68755952185,10,10
"369",2048,"google","tolerance:0.1","error: 10%","custom","0.1","0.9","strong","0ms",NA,69.2304439134,16.551325,182.036685,1530.809694,31162.4936445,76.2089271353,2.262566,1354.63847138,69.92829223559,NA,154.11985542,9.7074080562,10,10
"370",2048,"amazon","tolerance:0.1","error: 10%","custom","0.1","0.9","strong","0ms","Geo-
distributed",53.5887645487,15.675368,210.768442,1272.015045,29728.5902126,74.0657416593,2.566891,1265.37947958,55.63646225976,NA,145.712489711,9.72171738485,10,10
"371",2048,"fast","tolerance:0.01","error: 1%","custom","0.1","0.9","strong","0ms",NA,64.5564135343,56.60452,155.679309,287.055134,24241.057729,10.0055952211,2.527928,2464.16171356,59.10133170298,NA,11.8163993349,0.754045579895,0.995,1
"372",2048,"flat5","tolerance:0.01","error: 1%","custom","0.1","0.9","strong","0ms",NA,65.7217624267,24.406096,309.500762,454.385066,26408.1199162,31.5179441259,7.388137,2644.57402852,62.30138059662,NA,11.9379808752,0.761151257345,0.995,1
"373",2048,"slowpoke_flat","tolerance:0.01","error: 1%","custom","0.1","0.9","strong","0ms",NA,102.894534731,17.69499,565.950978,1061.637407,13683.6105989,95.7760110383,13.055408,1199.19521256,102.18268236173,NA,12.3347177232,0.779616218625,0.995,1
"374",2048,"google","tolerance:0.01","error: 1%","custom","0.1","0.9","strong","0ms",NA,191.28973561,2.98272,1050.500232,3098.721635,11056.6169392,186.27064074,2.047057,866.205722962,190.787826123,NA,11.7552172599,0.75437129707,0.995,0.995
"375",2048,"amazon","tolerance:0.01","error: 1%","custom","0.1","0.9","strong","0ms","Geo-
distributed",134.172548515,3.924185,912.374387,1951.612101,13797.4065467,137.930852951,2.113278,972.614701676,134.5483789586,NA,12.2035159241,0.7373963858,0.985,0.995
"376",2048,"fast","consistency:strong","strong","custom","0.1","0.9","strong","0ms",NA,16.4402949863,15.826055,31.565701,40.50415,65334.8023758,14.8018005377,14.162704,6205.17023549,16.27644554144,NA,0,0,0,0
"377",2048,"flat5","consistency:strong","strong","custom","0.1","0.9","strong","0ms",NA,139.092893255,137.667896,235.706612,287.859232,10129.8252055,128.742672424,130.848994,984.770480079,138.0578711719,NA,0,0,0,0
"378",2048,"slowpoke_flat","consistency:strong","strong","custom","0.1","0.9","strong","0ms",NA,340.223616997,306.439872,712.610115,1427.073988,3441.59881359,325.312766234,294.815298,345.250889192,338.7325319207,NA,0,0,0,0
"379",2048,"google","consistency:strong","strong","custom","0.1","0.9","strong","0ms",NA,1248.36132892,1148.194983,2383.109478,2623.984962,1001.79169045,1226.93276156,1151.986906,95.2804993821,1246.218472184,NA,0,0,0,0
"380",2048,"amazon","consistency:strong","strong","custom","0.1","0.9","strong","0ms","Geo-
distributed",1082.2490602,933.351031,2647.111293,3570.975867,1209.47719661,1066.34648223,930.887364,122.107968126,1080.658802403,NA,0,0,0,0
"381",2048,"fast","consistency:weakwrite","weak","custom","0.01","0.99","strong","0ms",NA,11.997569015,12.580381,24.272419,29.320168,89183.9958187,11.9714809843,12.511001,892.205046116,11.997308134693,NA,0,0,0,0
"382",2048,"flat5","consistency:weakwrite","weak","custom","0.01","0.99","strong","0ms",NA,12.9983404894,12.400632,17.765378,47.762328,80014.7618329,13.2519660692,12.874055,801.601551669,13.000876745198,NA,0,0.00754070053446,0.22,0.25
"383",2048,"slowpoke_flat","consistency:weakwrite","weak","custom","0.01","0.99","strong","0ms",NA,19.7403727086,17.879173,23.050003,125.157912,52124.6131292,22.1390230653,18.428197,526.31886052,19.764359212167,NA,0,0.0125965812276,0.27,0.27
"384",2048,"google","consistency:weakwrite","weak","custom","0.01","0.99","strong","0ms",NA,11.8455813633,9.321915,12.860063,28.392979,85271.6780614,12.049330724,9.841268,854.211464218,11.847618856907,NA,0,0.0104640843324,0.34,0.36
"385",2048,"amazon","consistency:weakwrite","weak","custom","0.01","0.99","strong","0ms","Geo-
distributed",11.6338970994,9.899719,12.599835,21.85071,87304.4109244,13.2705173591,10.411009,877.56505323,11.650263301997,NA,0,0.0014033707582,0,0.15
"386",2048,"fast","tolerance:0.1","error: 10%","custom","0.01","0.99","strong","0ms",NA,85.1930921395,83.180068,213.613184,340.35483,20800.7225733,2.46768567784,0.637386,206.780098742,84.3658380748834,NA,131.181545213,9.17668138985,9.99,9.99
"387",2048,"flat5","tolerance:0.1","error: 10%","custom","0.01","0.99","strong","0ms",NA,71.0458642908,73.837711,144.768352,174.970183,26301.324154,12.877859263,6.318289,262.015060265,70.464184240522,NA,153.223451807,9.43183416775,10,10
"388",2048,"slowpoke_flat","tolerance:0.1","error: 10%","custom","0.01","0.99","strong","0ms",NA,81.707198562,27.893337,383.985564,623.957565,23666.8190756,32.889096255,11.573107,233.252462815,81.21901753893,NA,129.194519368,8.4802260631,9.96,9.96
"389",2048,"google","tolerance:0.1","error: 10%","custom","0.01","0.99","strong","0ms",NA,91.9338625971,6.64136,545.284933,996.356881,19755.0369291,62.1819358824,1.942863,192.294574903,91.636343329953,NA,110.06302347,7.68646090545,10,10
"390",2048,"amazon","tolerance:0.1","error: 10%","custom","0.01","0.99","strong","0ms","Geo-
distributed",99.5784979454,9.830699,538.893049,1041.009608,19146.5067511,62.7323571446,1.919393,185.647645617,99.210036537392,NA,110.290949578,8.0570902972,9.965,9.965
"391",2048,"fast","tolerance:0.01","error: 1%","custom","0.01","0.99","strong","0ms",NA,63.7669988223,56.809712,130.635519,244.048753,27433.9582221,14.802821314,2.708479,276.309790025,63.277357047217,NA,10.4135051769,0.70492859546,0.99,0.99
"392",2048,"flat5","tolerance:0.01","error: 1%","custom","0.01","0.99","strong","0ms",NA,57.2031592062,11.120349,388.299283,680.922068,29703.3432313,49.4736491611,7.58586,295.757674878,57.125864105749,NA,10.4208527206,0.63355092316,0.99,0.99
"393",2048,"slowpoke_flat","tolerance:0.01","error: 1%","custom","0.01","0.99","strong","0ms",NA,136.837209927,15.192321,721.590746,2223.753061,12081.5936131,115.264730525,11.9409,118.908439129,136.62148513298,NA,11.6533633886,0.652945561805,0.99,0.99
"394",2048,"google","tolerance:0.01","error: 1%","custom","0.01","0.99","strong","0ms",NA,238.895105344,3.654221,1856.753244,3287.854403,8363.16221173,277.987990682,2.23091,80.3861744086,239.28603419738,NA,8.05555924625,0.59742544553,0.815,0.815
"395",2048,"amazon","tolerance:0.01","error: 1%","custom","0.01","0.99","strong","0ms","Geo-
distributed",216.367110912,3.410698,1334.600756,2919.549292,7400.32639559,312.724862763,2.20819,71.4964121241,217.33068843051,NA,7.66233714789,0.61427075813,0.935,0.935
"396",2048,"flat5","consistency:strong","strong","custom","0.01","0.99","strong","0ms",NA,116.11710741,116.713971,195.764804,271.823525,12818.6865135,107.111280901,104.171581,129.785437822,116.02704914491,NA,0,0,0,0
"397",2048,"slowpoke_flat","consistency:strong","strong","custom","0.01","0.99","strong","0ms",NA,267.135736939,244.741443,503.356821,1439.055179,4292.66359113,253.660078545,241.803942,41.9873547016,267.00098035506,NA,0,0,0,0
"398",2048,"google","consistency:strong","strong","custom","0.01","0.99","strong","0ms",NA,1120.86263601,1077.886138,2129.535938,2381.745875,1315.4748803,1100.13667877,1087.522997,13.3547581346,1120.6553764376,NA,0,0,0,0
"399",2048,"amazon","consistency:strong","strong","custom","0.01","0.99","strong","0ms","Geo-
distributed",881.656507039,804.233937,2105.039199,2832.897147,1577.53065605,875.430411208,807.664345,14.819092169,881.59424608069,NA,0,0,0,0
