"","name","nthreads","cc","phasing","disable_txns","cc_ph","avg_latency_ms","txn_count","total_time","throughput","txn_retries","conflicts","conflicts_total"
"36","v0.28.1-sampa",64,"boosting","off",1,"non-transactional",1.17238083299383,382908,30.2258,12668.2503027215,0,0,1531632
"37","v0.28.1-sampa",96,"r/w locks","off",1,"non-transactional",3.25999820693468,535396,30.3356,17649.0987486649,0,0,2141632
"38","v0.28.1-sampa",96,"boosting","off",1,"non-transactional",3.24561174964269,537344,30.3343,17714.0728482279,0,0,2149430
"39","v0.28.1-sampa",4,"r/w locks","off",1,"non-transactional",0.548100418410042,23900,30.0283,795.915852712275,0,0,95608
"40","v0.28.1-sampa",4,"boosting","off",1,"non-transactional",0.535160696350854,23896,30.0269,795.819748292364,0,0,95584
"41","v0.28.1-sampa",16,"r/w locks","off",1,"non-transactional",0.469142797407485,95660,30.0648,3181.79399164471,0,0,382652
"42","v0.28.1-sampa",16,"boosting","off",1,"non-transactional",0.490825179795953,95664,30.0603,3182.40336922785,0,0,382656
"43","v0.28.1-sampa",32,"r/w locks","off",1,"non-transactional",0.621001608758331,191452,30.1178,6356.77240701512,0,0,765812
"44","v0.28.1-sampa",32,"boosting","off",1,"non-transactional",0.610248641872127,191440,30.1206,6355.78308533031,0,0,765760
"45","v0.28.1-sampa",64,"r/w locks","off",1,"non-transactional",1.40644556348402,382868,30.2271,12666.3821537627,0,0,1531480
"46","v0.28.1-sampa",64,"boosting","off",1,"non-transactional",1.06475968117668,382908,30.2186,12671.2686888208,0,0,1531636
"47","v0.28.1-sampa",96,"r/w locks","off",1,"non-transactional",3.28948747510743,534296,30.3423,17608.9485635565,0,0,2137253
"48","v0.28.1-sampa",96,"boosting","off",1,"non-transactional",3.24137905167693,533236,30.3407,17574.9405913509,0,0,2133032
