"","name","nclients","nthreads","cc","rate","scale","mix","workload","alpha","phasing","async","cc_ph","timeout_scaling","throughput","op_timeouts","avg_latency_ms","txn_failed","total_time"
"209","v0.30-sampa","4",96,"r/w locks",50,"16","geom_repost","post-heavy","-1","off",0,"without
transactions",500,10785.897393215,185,34.8742499444403,0,60.074
"210","v0.30-sampa","4",96,"r/w locks",50,"16","2read2heavy","read-heavy","-1","off",0,"r/w locks
(baseline)",500,7612.53561253561,2,27.7004762405015,0,60.021
"211","v0.30-sampa","4",96,"boosting",50,"16","2read2heavy","read-heavy","-1","off",0,"boosting",500,9910.27005454304,81347,21.3380002818962,0,60.136
"212","v0.30-sampa","4",96,"r/w locks",50,"16","2read2heavy","read-heavy","-1","off",0,"without
transactions",500,27153.0868267311,4,13.8807924929977,0,60.0633
"213","v0.30-sampa","4",96,"r/w locks",50,"16","2read2heavy","read-heavy","-1","on",0,"r/w locks
 + phasing",500,19427.3410283593,3437,10.590557596084,79,60.6539
"214","v0.30-sampa","4",96,"r/w locks",50,"16","2read2heavy","read-heavy","-1","off",0,"without
transactions",500,26343.2924037461,0,14.2626042506718,0,60.0625
"215","v0.30-sampa","4",96,"boosting
 + combining",50,"16","geom_repost","post-heavy","-1","off",0,"boosting
 + combining",500,2714.0605149558,118046,56.7652681109695,0,60.1372
"216","v0.30-sampa","4",96,"boosting
 + combining",50,"16","2read2heavy","read-heavy","-1","off",0,"boosting
 + combining",500,15466.0304650392,348,24.2786292598641,0,60.0229
"217","v0.30-sampa","4",4,"r/w locks",50,"16","geom_repost","post-heavy","-1","off",0,"r/w locks
(baseline)",500,914.816351767319,0,16.0931283247103,0,60.0033
"218","v0.30-sampa","4",4,"boosting",50,"16","geom_repost","post-heavy","-1","off",0,"boosting",500,3791.90296760087,10,3.29161612432537,0,60.0047
"219","v0.30-sampa","4",4,"r/w locks",50,"16","geom_repost","post-heavy","-1","off",0,"without
transactions",500,4518.92770755176,0,2.32796095316739,0,60.0284
"220","v0.30-sampa","4",4,"r/w locks",50,"16","geom_repost","post-heavy","-1","on",0,"r/w locks
 + phasing",500,876.127772501164,76,16.8134554260633,0,60.3291
"221","v0.30-sampa","4",4,"r/w locks",50,"16","geom_repost","post-heavy","-1","off",0,"without
transactions",500,4521.23158518953,0,2.30868309361,0,60.0332
"222","v0.30-sampa","4",4,"r/w locks",50,"16","2read2heavy","read-heavy","-1","off",0,"r/w locks
(baseline)",500,5339.252208747,0,1.47409617497254,0,60.0114
"223","v0.30-sampa","4",4,"boosting",50,"16","2read2heavy","read-heavy","-1","off",0,"boosting",500,5670.86329436663,0,1.3805465765501,0,60.0085
"224","v0.30-sampa","4",4,"r/w locks",50,"16","2read2heavy","read-heavy","-1","off",0,"without
transactions",500,5712.49568858504,0,1.13804501277579,0,60.0151
"225","v0.30-sampa","4",4,"r/w locks",50,"16","2read2heavy","read-heavy","-1","on",0,"r/w locks
 + phasing",500,4856.27390366044,39,1.81321034425959,0,60.0065
"226","v0.30-sampa","4",4,"r/w locks",50,"16","2read2heavy","read-heavy","-1","off",0,"without
transactions",500,5653.79078694818,0,1.11896527335738,0,60.0192
