"","facet","rate","nthreads","cc_ph","cc","zipf","commute_ratio","phasing","timeout_scaling","throughput","op_timeouts"
"582","50% update
zipf: 0.6",100,32,"r/w locks+phasing","r/w locks",0.6,"0.5","on",1000,29112.9997645631,3680
"583","50% update
zipf: 0.6",100,32,"boosting+phasing","boosting",0.6,"0.5","on",1000,43591.3115146359,0
"584","50% update
zipf: 0.6",100,32,"boosting+combining","boosting+combining",0.6,"0.5","off",1000,9783.94205578672,0
"585","50% update
zipf: 0.6",100,32,"boosting+combining+phasing","boosting+combining",0.6,"0.5","on",1000,45150.6339420728,0
"586","50% update
zipf: 0.6",100,64,"r/w locks(baseline)","r/w locks",0.6,"0.5","off",1000,9580.375782881,3
"587","50% update
zipf: 0.6",100,64,"boosting","boosting",0.6,"0.5","off",1000,24198.6908783784,0
"588","50% update
zipf: 0.6",100,64,"r/w locks+phasing","r/w locks",0.6,"0.5","on",1000,27916.8560040507,23191
"589","50% update
zipf: 0.6",100,64,"boosting+phasing","boosting",0.6,"0.5","on",1000,45450.3231619852,5034
"590","50% update
zipf: 0.6",100,64,"boosting+combining","boosting+combining",0.6,"0.5","off",1000,28774.7526797844,0
"591","50% update
zipf: 0.6",100,64,"boosting+combining+phasing","boosting+combining",0.6,"0.5","on",1000,47893.5404558197,2967
"592","50% update
zipf: 0.6",100,96,"r/w locks(baseline)","r/w locks",0.6,"0.5","off",1000,7383.96433939503,29
"593","50% update
zipf: 0.6",100,96,"boosting","boosting",0.6,"0.5","off",1000,21823.5152902333,34
"594","50% update
zipf: 0.6",100,96,"r/w locks+phasing","r/w locks",0.6,"0.5","on",1000,28287.7044468494,42675
"595","50% update
zipf: 0.6",100,96,"boosting+phasing","boosting",0.6,"0.5","on",1000,44136.4768519129,19843
"596","50% update
zipf: 0.6",100,96,"boosting+combining","boosting+combining",0.6,"0.5","off",1000,26807.1076857204,23
"597","50% update
zipf: 0.6",100,96,"boosting+combining+phasing","boosting+combining",0.6,"0.5","on",1000,48133.5694943318,13445
"598","0% update
zipf: 0.6",100,64,"r/w locks(baseline)","r/w locks",0.6,"0","off",1000,63766.6749523573,1
"599","0% update
zipf: 0.6",100,64,"boosting","boosting",0.6,"0","off",1000,63294.2494671135,1
"600","0% update
zipf: 0.6",100,64,"r/w locks+phasing","r/w locks",0.6,"0","on",1000,64134.5870218711,0
"601","0% update
zipf: 0.6",100,64,"boosting+phasing","boosting",0.6,"0","on",1000,63798.9049014279,3
"602","20% update
zipf: 0.6",100,64,"r/w locks(baseline)","r/w locks",0.6,"0.2","off",1000,17190.8302151926,2
"603","20% update
zipf: 0.6",100,64,"boosting","boosting",0.6,"0.2","off",1000,29928.5144840042,0
"604","20% update
zipf: 0.6",100,64,"r/w locks+phasing","r/w locks",0.6,"0.2","on",1000,42771.157710307,19364
"605","20% update
zipf: 0.6",100,64,"boosting+phasing","boosting",0.6,"0.2","on",1000,53581.1117554469,2930
"606","40% update
zipf: 0.6",100,64,"r/w locks(baseline)","r/w locks",0.6,"0.4","off",1000,11053.3440763055,1
"607","40% update
zipf: 0.6",100,64,"boosting","boosting",0.6,"0.4","off",1000,25259.4265534014,0
"608","40% update
zipf: 0.6",100,64,"r/w locks+phasing","r/w locks",0.6,"0.4","on",1000,31732.4665680917,22101
"609","40% update
zipf: 0.6",100,64,"boosting+phasing","boosting",0.6,"0.4","on",1000,47750.8861430417,4650
"610","60% update
zipf: 0.6",100,64,"r/w locks(baseline)","r/w locks",0.6,"0.6","off",1000,8446.87910890411,0
"611","60% update
zipf: 0.6",100,64,"boosting","boosting",0.6,"0.6","off",1000,24654.8125445851,1
"612","60% update
zipf: 0.6",100,64,"r/w locks+phasing","r/w locks",0.6,"0.6","on",1000,25414.6966435358,23767
"613","60% update
zipf: 0.6",100,64,"boosting+phasing","boosting",0.6,"0.6","on",1000,43480.7954741179,5525
"614","80% update
zipf: 0.6",100,64,"r/w locks(baseline)","r/w locks",0.6,"0.8","off",1000,6541.94531448404,0
"615","80% update
zipf: 0.6",100,64,"boosting","boosting",0.6,"0.8","off",1000,26288.4447847092,7
"616","80% update
zipf: 0.6",100,64,"r/w locks+phasing","r/w locks",0.6,"0.8","on",1000,21656.0311284047,24394
"617","80% update
zipf: 0.6",100,64,"boosting+phasing","boosting",0.6,"0.8","on",1000,40411.6883460937,4996
"618","100% update
zipf: 0.6",100,64,"r/w locks(baseline)","r/w locks",0.6,"1","off",1000,6041.58048850397,0
"619","100% update
zipf: 0.6",100,64,"boosting","boosting",0.6,"1","off",1000,38367.0870966458,4
"620","100% update
zipf: 0.6",100,64,"r/w locks+phasing","r/w locks",0.6,"1","on",1000,19959.4683545125,24387
"621","100% update
zipf: 0.6",100,64,"boosting+phasing","boosting",0.6,"1","on",1000,38244.7822555244,0
"622","0% update
zipf: 0.6",100,64,"boosting+combining","boosting+combining",0.6,"0","off",1000,71118.4766576623,0
"623","0% update
zipf: 0.6",100,64,"boosting+combining+phasing","boosting+combining",0.6,"0","on",1000,71228.5469960823,0
"624","20% update
zipf: 0.6",100,64,"boosting+combining","boosting+combining",0.6,"0.2","off",1000,34819.0367814647,1
"625","20% update
zipf: 0.6",100,64,"boosting+combining+phasing","boosting+combining",0.6,"0.2","on",1000,56892.9316100203,1247
"626","40% update
zipf: 0.6",100,64,"boosting+combining","boosting+combining",0.6,"0.4","off",1000,7047.27874852935,0
"627","40% update
zipf: 0.6",100,64,"boosting+combining+phasing","boosting+combining",0.6,"0.4","on",1000,50361.0208816705,2522
"628","60% update
zipf: 0.6",100,64,"boosting+combining","boosting+combining",0.6,"0.6","off",1000,4579.8502436512,0
"629","60% update
zipf: 0.6",100,64,"boosting+combining+phasing","boosting+combining",0.6,"0.6","on",1000,46295.2660997642,3298
"630","80% update
zipf: 0.6",100,64,"boosting+combining","boosting+combining",0.6,"0.8","off",1000,28686.3026652191,0
"631","80% update
zipf: 0.6",100,64,"boosting+combining+phasing","boosting+combining",0.6,"0.8","on",1000,43112.0802210985,2301
"632","100% update
zipf: 0.6",100,64,"boosting+combining","boosting+combining",0.6,"1","off",1000,42110.8186417191,1
"633","100% update
zipf: 0.6",100,64,"boosting+combining+phasing","boosting+combining",0.6,"1","on",1000,41719.6673108734,0
"634","0% update
zipf: 0.6",100,96,"r/w locks(baseline)","r/w locks",0.6,"0","off",1000,64680.9635878044,39
"635","0% update
zipf: 0.6",100,96,"boosting","boosting",0.6,"0","off",1000,64491.7363978696,15
"636","0% update
zipf: 0.6",100,96,"r/w locks+phasing","r/w locks",0.6,"0","on",1000,64990.9098722093,30
"637","0% update
zipf: 0.6",100,96,"boosting+phasing","boosting",0.6,"0","on",1000,64163.3198137001,40
"638","20% update
zipf: 0.6",100,96,"r/w locks(baseline)","r/w locks",0.6,"0.2","off",1000,14506.3008557517,33
"639","20% update
zipf: 0.6",100,96,"boosting","boosting",0.6,"0.2","off",1000,27633.0437923844,17
"640","20% update
zipf: 0.6",100,96,"r/w locks+phasing","r/w locks",0.6,"0.2","on",1000,42208.940396283,39269
"641","20% update
zipf: 0.6",100,96,"boosting+phasing","boosting",0.6,"0.2","on",1000,53132.1572370877,11359
"642","40% update
zipf: 0.6",100,96,"r/w locks(baseline)","r/w locks",0.6,"0.4","off",1000,8963.42191843627,50
"643","40% update
zipf: 0.6",100,96,"boosting","boosting",0.6,"0.4","off",1000,22804.6146067932,16
"644","40% update
zipf: 0.6",100,96,"r/w locks+phasing","r/w locks",0.6,"0.4","on",1000,31706.1474276972,41801
"645","40% update
zipf: 0.6",100,96,"boosting+phasing","boosting",0.6,"0.4","on",1000,46490.0378018785,18300
"646","60% update
zipf: 0.6",100,96,"r/w locks(baseline)","r/w locks",0.6,"0.6","off",1000,6573.69580147872,49
"647","60% update
zipf: 0.6",100,96,"boosting","boosting",0.6,"0.6","off",1000,21904.3774226476,35
"648","60% update
zipf: 0.6",100,96,"r/w locks+phasing","r/w locks",0.6,"0.6","on",1000,25715.2666587519,43205
"649","60% update
zipf: 0.6",100,96,"boosting+phasing","boosting",0.6,"0.6","on",1000,42897.7821749526,19882
"650","80% update
zipf: 0.6",100,96,"r/w locks(baseline)","r/w locks",0.6,"0.8","off",1000,5095.07540018613,32
"651","80% update
zipf: 0.6",100,96,"boosting","boosting",0.6,"0.8","off",1000,23432.1175944674,37
"652","80% update
zipf: 0.6",100,96,"r/w locks+phasing","r/w locks",0.6,"0.8","on",1000,21468.7360793752,44266
"653","80% update
zipf: 0.6",100,96,"boosting+phasing","boosting",0.6,"0.8","on",1000,40009.8731952622,14804
"654","100% update
zipf: 0.6",100,96,"r/w locks(baseline)","r/w locks",0.6,"1","off",1000,4891.17382892352,28
"655","100% update
zipf: 0.6",100,96,"boosting","boosting",0.6,"1","off",1000,18267.181650879,41257
"656","100% update
zipf: 0.6",100,96,"r/w locks+phasing","r/w locks",0.6,"1","on",1000,18357.4680946579,45248
"657","100% update
zipf: 0.6",100,96,"boosting+phasing","boosting",0.6,"1","on",1000,18713.8643847244,50
"658","0% update
zipf: 0.6",100,96,"boosting+combining","boosting+combining",0.6,"0","off",1000,74485.4214876033,27
"659","0% update
zipf: 0.6",100,96,"boosting+combining+phasing","boosting+combining",0.6,"0","on",1000,74557.0478006922,40
"660","20% update
zipf: 0.6",100,96,"boosting+combining","boosting+combining",0.6,"0.2","off",1000,33566.2415168079,31
"661","20% update
zipf: 0.6",100,96,"boosting+combining+phasing","boosting+combining",0.6,"0.2","on",1000,57522.3907184493,8037
"662","40% update
zipf: 0.6",100,96,"boosting+combining","boosting+combining",0.6,"0.4","off",1000,27129.4560335823,41
"663","40% update
zipf: 0.6",100,96,"boosting+combining+phasing","boosting+combining",0.6,"0.4","on",1000,50844.7708748894,12961
"664","60% update
zipf: 0.6",100,96,"boosting+combining","boosting+combining",0.6,"0.6","off",1000,26871.4430223864,19
"665","60% update
zipf: 0.6",100,96,"boosting+combining+phasing","boosting+combining",0.6,"0.6","on",1000,45988.8088049733,13727
"666","80% update
zipf: 0.6",100,96,"boosting+combining","boosting+combining",0.6,"0.8","off",1000,28276.1143610447,26
"667","80% update
zipf: 0.6",100,96,"boosting+combining+phasing","boosting+combining",0.6,"0.8","on",1000,44086.9981668951,10897
"668","100% update
zipf: 0.6",100,96,"boosting+combining","boosting+combining",0.6,"1","off",1000,18583.5304690288,38747
"669","100% update
zipf: 0.6",100,96,"boosting+combining+phasing","boosting+combining",0.6,"1","on",1000,20518.3100080614,46
"730","50% update
zipf: 0.6",100,4,"r/w locks(baseline)","r/w locks",0.6,"0.5","off",1000,6334.37493753706,0
"731","50% update
zipf: 0.6",100,4,"boosting","boosting",0.6,"0.5","off",1000,6332.24286923092,0
"732","50% update
zipf: 0.6",100,4,"r/w locks+phasing","r/w locks",0.6,"0.5","on",1000,6332.11630200144,0
"733","50% update
zipf: 0.6",100,4,"boosting+phasing","boosting",0.6,"0.5","on",1000,6332.94466469001,0
"734","50% update
zipf: 0.6",100,4,"boosting+combining","boosting+combining",0.6,"0.5","off",1000,6334.80243717999,0
"735","50% update
zipf: 0.6",100,4,"boosting+combining+phasing","boosting+combining",0.6,"0.5","on",1000,6331.51431560291,0
"736","50% update
zipf: 0.6",100,16,"r/w locks(baseline)","r/w locks",0.6,"0.5","off",1000,18823.0282578382,0
"737","50% update
zipf: 0.6",100,16,"boosting","boosting",0.6,"0.5","off",1000,25348.4169221092,0
"738","50% update
zipf: 0.6",100,16,"r/w locks+phasing","r/w locks",0.6,"0.5","on",1000,25074.0983562911,0
"739","50% update
zipf: 0.6",100,16,"boosting+phasing","boosting",0.6,"0.5","on",1000,25345.2797784671,0
"740","50% update
zipf: 0.6",100,16,"boosting+combining","boosting+combining",0.6,"0.5","off",1000,25347.2675231312,0
"741","50% update
zipf: 0.6",100,16,"boosting+combining+phasing","boosting+combining",0.6,"0.5","on",1000,25345.6963516671,0
"742","50% update
zipf: 0.6",100,32,"r/w locks(baseline)","r/w locks",0.6,"0.5","off",1000,12451.5345200993,0
"743","50% update
zipf: 0.6",100,32,"boosting","boosting",0.6,"0.5","off",1000,27724.1562583045,0
"744","50% update
zipf: 0.6",100,32,"r/w locks+phasing","r/w locks",0.6,"0.5","on",1000,28526.552031639,3830
"745","50% update
zipf: 0.6",100,32,"boosting+phasing","boosting",0.6,"0.5","on",1000,43656.4728715662,0
