"","name","nclients","nthreads","cc","phasing","rate","facet","zipf","commute_ratio","timeout_scaling","throughput","op_timeouts"
"66","v0.27.alt-sampa",4,4,"boosting","off",100,"50% update
zipf: 0.6",0.6,"0.5",200,6345.65285467762,0
"67","v0.27.alt-sampa",4,16,"boosting","off",100,"50% update
zipf: 0.6",0.6,"0.5",200,25397.2394015709,0
"68","v0.27.alt-sampa",4,32,"boosting","off",100,"50% update
zipf: 0.6",0.6,"0.5",200,27992.5953940166,0
"69","v0.27.alt-sampa",4,64,"boosting","off",100,"50% update
zipf: 0.6",0.6,"0.5",200,23630.2838034811,0
"70","v0.27.alt-sampa",4,96,"boosting","off",100,"50% update
zipf: 0.6",0.6,"0.5",200,21581.8898359454,0
"71","v0.27.alt-sampa",4,4,"r/w locks","on",100,"50% update
zipf: 0.6",0.6,"0.5",200,6343.48319958961,0
"72","v0.27.alt-sampa",4,16,"r/w locks","on",100,"50% update
zipf: 0.6",0.6,"0.5",200,25284.4419908611,0
"73","v0.27.alt-sampa",4,32,"r/w locks","on",100,"50% update
zipf: 0.6",0.6,"0.5",200,30743.0525185863,29
"74","v0.27.alt-sampa",4,64,"r/w locks","on",100,"50% update
zipf: 0.6",0.6,"0.5",200,30230.0566692152,58
"75","v0.27.alt-sampa",4,96,"r/w locks","on",100,"50% update
zipf: 0.6",0.6,"0.5",200,30268.9797454229,138
"76","v0.27.alt-sampa",4,4,"boosting","on",100,"50% update
zipf: 0.6",0.6,"0.5",200,6344.41309048265,0
"77","v0.27.alt-sampa",4,16,"boosting","on",100,"50% update
zipf: 0.6",0.6,"0.5",200,25379.3103448276,0
"78","v0.27.alt-sampa",4,32,"boosting","on",100,"50% update
zipf: 0.6",0.6,"0.5",200,40509.7105908673,1
"79","v0.27.alt-sampa",4,64,"boosting","on",100,"50% update
zipf: 0.6",0.6,"0.5",200,42979.2378171633,10
"80","v0.27.alt-sampa",4,96,"boosting","on",100,"50% update
zipf: 0.6",0.6,"0.5",200,43057.0607918036,39
"81","v0.27.alt-sampa",4,4,"boosting
 + combining","off",100,"50% update
zipf: 0.6",0.6,"0.5",200,6344.76050248009,0
"82","v0.27.alt-sampa",4,16,"boosting
 + combining","off",100,"50% update
zipf: 0.6",0.6,"0.5",200,25388.8837141222,0
"83","v0.27.alt-sampa",4,32,"boosting
 + combining","off",100,"50% update
zipf: 0.6",0.6,"0.5",200,31281.493084132,0
"84","v0.27.alt-sampa",4,64,"boosting
 + combining","off",100,"50% update
zipf: 0.6",0.6,"0.5",200,27325.8628536001,0
"85","v0.27.alt-sampa",4,96,"boosting
 + combining","off",100,"50% update
zipf: 0.6",0.6,"0.5",200,25487.0789707828,2
"86","v0.27.alt-sampa",4,4,"boosting
 + combining","on",100,"50% update
zipf: 0.6",0.6,"0.5",200,6341.2668010193,0
"87","v0.27.alt-sampa",4,16,"boosting
 + combining","on",100,"50% update
zipf: 0.6",0.6,"0.5",200,25385.0299759793,0
"88","v0.27.alt-sampa",4,32,"boosting
 + combining","on",100,"50% update
zipf: 0.6",0.6,"0.5",200,38767.0205208894,0
"89","v0.27.alt-sampa",4,64,"boosting
 + combining","on",100,"50% update
zipf: 0.6",0.6,"0.5",200,43537.9903458894,12
"90","v0.27.alt-sampa",4,96,"boosting
 + combining","on",100,"50% update
zipf: 0.6",0.6,"0.5",200,46405.5293483831,35
"116","v0.27-sampa",4,4,"r/w locks","off",100,"50% update
zipf: 0.6",0.6,"0.5",200,6338.02676153454,0
"117","v0.27-sampa",4,16,"r/w locks","off",100,"50% update
zipf: 0.6",0.6,"0.5",200,18077.7126050923,0
"118","v0.27-sampa",4,32,"r/w locks","off",100,"50% update
zipf: 0.6",0.6,"0.5",200,12362.5368867881,0
"119","v0.27-sampa",4,64,"r/w locks","off",100,"50% update
zipf: 0.6",0.6,"0.5",200,9482.25826436849,1
"120","v0.27-sampa",4,96,"r/w locks","off",100,"50% update
zipf: 0.6",0.6,"0.5",200,7532.5663089368,20
"121","v0.27-sampa",4,4,"boosting","off",100,"50% update
zipf: 0.6",0.6,"0.5",200,6338.65508142541,0
"122","v0.27-sampa",4,16,"boosting","off",100,"50% update
zipf: 0.6",0.6,"0.5",200,25346.3659448144,0
"123","v0.27-sampa",4,32,"boosting","off",100,"50% update
zipf: 0.6",0.6,"0.5",200,29795.8776993231,0
"124","v0.27-sampa",4,64,"boosting","off",100,"50% update
zipf: 0.6",0.6,"0.5",200,26688.1670686977,0
"125","v0.27-sampa",4,96,"boosting","off",100,"50% update
zipf: 0.6",0.6,"0.5",200,23541.2876033547,15
"126","v0.27-sampa",4,4,"r/w locks","on",100,"50% update
zipf: 0.6",0.6,"0.5",200,6338.63907414934,0
"127","v0.27-sampa",4,16,"r/w locks","on",100,"50% update
zipf: 0.6",0.6,"0.5",200,25125.3619088822,0
"128","v0.27-sampa",4,32,"r/w locks","on",100,"50% update
zipf: 0.6",0.6,"0.5",200,29592.3982489155,24
"129","v0.27-sampa",4,64,"r/w locks","on",100,"50% update
zipf: 0.6",0.6,"0.5",200,31677.1233871309,7123
"130","v0.27-sampa",4,96,"r/w locks","on",100,"50% update
zipf: 0.6",0.6,"0.5",200,30936.3124162537,8688
"131","v0.27-sampa",4,4,"boosting","on",100,"50% update
zipf: 0.6",0.6,"0.5",200,6338.5283750558,0
"132","v0.27-sampa",4,16,"boosting","on",100,"50% update
zipf: 0.6",0.6,"0.5",200,25344.2939394948,0
"133","v0.27-sampa",4,32,"boosting","on",100,"50% update
zipf: 0.6",0.6,"0.5",200,41830.5866557664,2
"134","v0.27-sampa",4,64,"boosting","on",100,"50% update
zipf: 0.6",0.6,"0.5",200,44068.4273431266,18
"135","v0.27-sampa",4,96,"boosting","on",100,"50% update
zipf: 0.6",0.6,"0.5",200,42752.6266716306,34
"136","v0.27-sampa",4,4,"boosting
 + combining","off",100,"50% update
zipf: 0.6",0.6,"0.5",200,6340.04803672378,0
"137","v0.27-sampa",4,16,"boosting
 + combining","off",100,"50% update
zipf: 0.6",0.6,"0.5",200,25346.6242864988,0
"138","v0.27-sampa",4,32,"boosting
 + combining","off",100,"50% update
zipf: 0.6",0.6,"0.5",200,32022.8613201748,0
"139","v0.27-sampa",4,64,"boosting
 + combining","off",100,"50% update
zipf: 0.6",0.6,"0.5",200,29574.5216182215,0
"140","v0.27-sampa",4,96,"boosting
 + combining","off",100,"50% update
zipf: 0.6",0.6,"0.5",200,24102.3343612584,6
"141","v0.27-sampa",4,4,"boosting
 + combining","on",100,"50% update
zipf: 0.6",0.6,"0.5",200,6338.47014850792,0
"142","v0.27-sampa",4,16,"boosting
 + combining","on",100,"50% update
zipf: 0.6",0.6,"0.5",200,25347.0407928938,0
"143","v0.27-sampa",4,32,"boosting
 + combining","on",100,"50% update
zipf: 0.6",0.6,"0.5",200,41449.0779651783,0
"144","v0.27-sampa",4,64,"boosting
 + combining","on",100,"50% update
zipf: 0.6",0.6,"0.5",200,47436.9941392208,9
"145","v0.27-sampa",4,96,"boosting
 + combining","on",100,"50% update
zipf: 0.6",0.6,"0.5",200,48364.2152685572,48
"254","v0.27-sampa",4,16,"r/w locks","off",100,"50% update
zipf: 0.2",0.2,"0.5",200,25348.1111665835,0
"255","v0.27-sampa",4,64,"r/w locks","off",100,"50% update
zipf: 0.2",0.2,"0.5",200,26328.5858102421,0
"256","v0.27-sampa",4,96,"r/w locks","off",100,"50% update
zipf: 0.2",0.2,"0.5",200,19849.0482485559,18
"257","v0.27-sampa",4,16,"r/w locks","off",100,"50% update
zipf: 0.4",0.4,"0.5",200,25348.7807069803,0
"258","v0.27-sampa",4,64,"r/w locks","off",100,"50% update
zipf: 0.4",0.4,"0.5",200,16264.8187089368,0
"259","v0.27-sampa",4,96,"r/w locks","off",100,"50% update
zipf: 0.4",0.4,"0.5",200,13530.4473902237,16
"260","v0.27-sampa",4,16,"r/w locks","off",100,"50% update
zipf: 0.8",0.8,"0.5",200,7477.54386663746,0
"261","v0.27-sampa",4,64,"r/w locks","off",100,"50% update
zipf: 0.8",0.8,"0.5",200,4568.73174801836,0
"262","v0.27-sampa",4,96,"r/w locks","off",100,"50% update
zipf: 0.8",0.8,"0.5",200,3653.39789281454,34
"263","v0.27-sampa",4,16,"r/w locks","off",100,"50% update
zipf: 1",1,"0.5",200,3948.56729819163,0
